t,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,tof
0.002000,0.000200,0.000012,0.017692,0.000000,0.000000,0.000000,1.456662
0.004000,22.834378,-10.680328,1.843919,-0.000000,0.000002,0.000000,1.456606
0.006000,22.757287,-10.657325,1.838155,0.026694,0.069271,-0.004597,1.456718
0.008000,22.683959,-10.634991,1.829594,0.053263,0.138136,-0.008912,1.456996
0.010000,22.614210,-10.613228,1.818349,0.079708,0.206612,-0.012945,1.457439
0.012000,22.547908,-10.592015,1.804523,0.106030,0.274715,-0.016699,1.458046
0.014000,22.484920,-10.571330,1.788211,0.132231,0.342458,-0.020178,1.458818
0.016000,22.425112,-10.551150,1.769504,0.158313,0.409857,-0.023383,1.459755
0.018000,22.368349,-10.531448,1.748484,0.184275,0.476924,-0.026319,1.460856
0.020000,23.004763,-4.277101,12.959404,0.210121,0.543671,-0.028988,1.462122
0.022000,23.099272,-3.657985,15.214519,0.184848,0.615811,-0.025021,1.463632
0.024000,23.344476,-4.466632,20.577037,0.156650,0.691009,-0.022483,1.465411
0.026000,23.360777,-2.589686,22.811057,0.135552,0.766720,-0.019065,1.467494
0.028000,22.994214,-6.857146,17.048097,0.094729,0.842141,-0.014536,1.469896
0.030000,22.890411,-7.269038,16.135947,0.090132,0.915200,-0.013426,1.472581
0.032000,22.444046,-10.281666,12.219293,0.089105,0.987664,-0.012667,1.475547
0.034000,22.884880,-9.339456,17.483432,0.117765,1.056442,-0.014868,1.478767
0.036000,22.938126,-4.396118,18.938946,0.133317,1.129221,-0.015315,1.482286
0.038000,22.794886,-5.164588,16.997126,0.107505,1.202564,-0.012281,1.486119
0.040000,22.619246,-4.537144,15.176694,0.089370,1.275120,-0.010099,1.490256
0.042000,22.525527,-6.799433,13.768413,0.066236,1.345505,-0.007031,1.494687
0.044000,22.555140,-5.734259,14.437512,0.063485,1.416361,-0.006190,1.499412
0.046000,22.510830,-5.234247,14.455988,0.050622,1.487510,-0.004329,1.504443
0.048000,22.286648,-7.418042,11.404829,0.032810,1.558385,-0.002138,1.509785
0.050000,21.940813,-9.535654,8.182311,0.031736,1.627371,-0.001877,1.515423
0.052000,22.163139,-6.959449,10.475076,0.051707,1.693021,-0.003567,1.521336
0.054000,22.375710,-5.841908,14.623892,0.047069,1.760021,-0.002228,1.527548
0.056000,22.290202,-6.020055,13.701736,0.035716,1.830840,-0.000651,1.534106
0.058000,22.192279,-6.560861,12.342488,0.025994,1.901093,0.000806,1.541013
0.060000,22.119377,-6.674995,11.647653,0.021720,1.970710,0.001807,1.548268
0.062000,22.050777,-6.779198,11.019584,0.018505,2.039845,0.002690,1.555876
0.064000,22.019675,-5.839718,11.857894,0.016262,2.108528,0.003468,1.563845
0.066000,21.645302,-9.831480,6.315188,0.004267,2.177139,0.005106,1.572190
0.068000,21.921447,-6.223917,10.617971,0.029101,2.241102,0.003013,1.580875
0.070000,21.855728,-6.385855,10.040044,0.021231,2.309230,0.004286,1.589952
0.072000,21.792768,-6.526830,9.520836,0.014917,2.376924,0.005369,1.599432
0.074000,21.731885,-6.656297,9.042676,0.009952,2.444200,0.006284,1.609324
0.076000,21.672773,-6.767611,8.610817,0.006227,2.511074,0.007049,1.619639
0.078000,21.614685,-6.877237,8.198626,0.003565,2.577556,0.007683,1.630390
0.080000,21.559989,-6.484520,8.474693,0.001960,2.643654,0.008194,1.641591
0.082000,21.500079,-6.677331,7.965632,-0.003771,2.709588,0.009012,1.653261
0.084000,21.441147,-6.844449,7.499186,-0.007651,2.775060,0.009630,1.665414
0.086000,21.382795,-6.989419,7.069761,-0.009916,2.840082,0.010080,1.678066
0.088000,21.324672,-7.115502,6.672527,-0.010767,2.904663,0.010387,1.691235
0.090000,21.266242,-7.272821,6.344496,-0.010378,2.968808,0.010573,1.704939
0.092000,21.207629,-7.352740,5.990715,-0.008466,3.032546,0.010645,1.719200
0.094000,21.149298,-7.632437,5.397498,-0.005731,3.095847,0.010654,1.734038
0.096000,21.089825,-7.660061,5.153763,-0.000141,3.158538,0.010447,1.749474
0.098000,21.029916,-7.831080,4.712221,0.005775,3.220845,0.010225,1.765534
0.100000,20.957613,-8.171572,4.049224,0.013601,3.282737,0.009992,1.782244
0.102000,20.894964,-8.184962,3.849018,0.024985,3.343843,0.009641,1.799627
0.104000,20.831281,-8.194300,3.654507,0.036564,3.404528,0.009327,1.817716
0.106000,20.755974,-8.674842,2.849594,0.048302,3.464802,0.009054,1.836542
0.108000,20.611705,-8.808124,1.154334,0.062800,3.523746,0.008618,1.856133
0.110000,20.657918,-7.547717,3.439533,0.079838,3.578761,0.007026,1.876494
0.112000,20.595230,-7.315217,3.787452,0.085323,3.638002,0.006648,1.897709
0.114000,18.983101,-5.841014,6.300987,0.088313,3.697355,0.006241,1.919828
0.116000,19.046861,-6.041940,5.826225,0.079595,3.768455,-0.002831,1.943000
0.118000,19.092543,-6.238031,5.359100,0.072589,3.837066,-0.011089,1.967269
0.120000,19.112209,-6.210793,5.343084,0.067277,3.903384,-0.018640,1.992681
0.122000,19.078218,-6.289271,5.676201,0.061131,3.967847,-0.025810,2.019293
0.124000,17.318075,-3.415960,4.812536,0.055064,4.032043,-0.031256,2.047182
0.126000,17.458993,-3.979113,4.269515,0.047503,4.090441,-0.065334,2.076380
0.128000,17.051964,-4.449236,3.700583,0.042395,4.147199,-0.096604,2.106955
0.130000,16.668001,-5.529537,3.749704,0.038813,4.202733,-0.123903,2.138983
0.132000,17.148325,-5.248509,2.510836,0.044218,4.259821,-0.146505,2.172575
0.134000,16.906886,-6.252274,3.036004,0.046059,4.311302,-0.173240,2.207778
0.136000,17.051137,-6.629441,2.461653,0.054179,4.365490,-0.191750,2.244735
0.138000,17.180474,-6.871131,2.187554,0.064213,4.417751,-0.208052,2.283545
0.140000,17.583125,-6.638887,1.347604,0.074479,4.468525,-0.222040,2.324327
0.142000,17.677017,-6.935949,1.074180,0.081490,4.514975,-0.237464,2.367173
0.144000,17.748030,-7.142596,0.934993,0.089814,4.560233,-0.250397,2.412222
0.146000,17.559190,-7.983875,1.533340,0.098614,4.604746,-0.260902,2.459633
0.148000,17.587521,-8.054569,1.318652,0.111775,4.652469,-0.262110,2.509633
0.150000,17.590210,-8.047993,1.248282,0.124794,4.698931,-0.262048,2.562414
0.152000,17.989623,-8.900546,-1.490640,0.136894,4.744605,-0.260802,2.618194
0.154000,18.142166,-9.262794,-2.257941,0.156599,4.781662,-0.262325,2.677087
0.156000,18.095675,-9.281133,-2.272874,0.180200,4.813865,-0.261282,2.739281
0.158000,17.432530,-9.280249,-0.602607,0.203689,4.845556,-0.259228,2.805052
0.160000,17.384241,-9.254838,-0.742856,0.224668,4.886093,-0.253589,2.874874
0.162000,17.627219,-8.931224,-1.477919,0.245351,4.925311,-0.247459,2.949102
0.164000,17.987752,-9.516463,-1.289435,0.263985,4.960198,-0.244486,3.028075
0.166000,17.861428,-9.473850,-1.340502,0.282855,4.995749,-0.232596,3.112274
0.168000,17.381596,-7.316707,2.016615,0.301807,5.030494,-0.220804,3.202212
0.170000,17.021079,-8.248416,1.625834,0.303202,5.073768,-0.209387,3.298706
0.172000,17.118456,-9.350316,-0.605005,0.310740,5.117410,-0.192104,3.402489
0.174000,17.001010,-9.345250,-0.799023,0.329977,5.151755,-0.174463,3.514154
0.176000,16.807719,-7.532732,1.245001,0.349472,5.184685,-0.157126,3.634588
0.178000,16.956250,-9.098021,-1.362696,0.353280,5.223756,-0.145718,3.765052
0.180000,16.804154,-9.074653,-1.438301,0.370600,5.254141,-0.133986,3.906546
0.182000,16.647683,-9.049329,-1.506277,0.388298,5.283521,-0.122269,4.060491
0.184000,16.487016,-9.021971,-1.566920,0.406330,5.311916,-0.110547,4.228564
0.186000,16.322261,-8.992472,-1.620390,0.424652,5.339343,-0.098803,4.412759
0.188000,16.424427,-9.400725,-2.591297,0.443224,5.365819,-0.087022,4.615466
0.190000,16.256075,-9.344302,-2.584405,0.467037,5.385786,-0.072681,4.839297
0.192000,15.732104,-8.759709,-1.470776,0.490762,5.405009,-0.058216,5.000000
0.194000,15.150730,-9.121267,-0.856647,0.508336,5.430488,-0.046852,5.000000
0.196000,15.010266,-9.049402,-0.999112,0.526764,5.459413,-0.029726,5.000000
0.198000,15.496043,-9.134438,-2.566258,0.545328,5.486545,-0.012964,5.000000
0.200000,14.958950,-8.595076,-1.546326,0.568807,5.502274,0.002061,5.000000
0.202000,15.117894,-9.027660,-2.542010,0.586667,5.524015,0.013949,5.000000
0.204000,14.550293,-8.479322,-1.503216,0.610061,5.538020,0.029159,5.000000
0.206000,14.368849,-8.460837,-1.559284,0.627673,5.558398,0.041033,5.000000
0.208000,14.524011,-8.867937,-2.497761,0.645624,5.577456,0.053135,5.000000
0.210000,13.946590,-8.343845,-1.508438,0.668907,5.588762,0.068599,5.000000
0.212000,13.758685,-8.322986,-1.557068,0.686601,5.606369,0.080735,5.000000
0.214000,13.906245,-8.703545,-2.437118,0.704617,5.622617,0.093120,5.000000
0.216000,13.700866,-8.643286,-2.407901,0.727766,5.631157,0.108857,5.000000
0.218000,13.081985,-8.115014,-1.408573,0.750828,5.638820,0.124742,5.000000
0.220000,12.890603,-8.097667,-1.462219,0.768058,5.653282,0.137053,5.000000
0.222000,13.053398,-8.472896,-2.327889,0.785684,5.666234,0.149663,5.000000
0.224000,12.839339,-8.410310,-2.292298,0.808593,5.671044,0.165796,5.000000
0.226000,12.232451,-7.974062,-1.461542,0.831408,5.674957,0.182064,5.000000
0.228000,12.034525,-7.946284,-1.497803,0.848238,5.685580,0.195372,5.000000
0.230000,11.125686,-6.156975,-1.290200,0.865520,5.694612,0.208934,-1.000000
0.232000,10.688037,-5.638753,-1.210354,0.879852,5.701369,0.202137,-1.000000
0.234000,10.876206,-6.072912,-1.765014,0.893358,5.706492,0.189224,-1.000000
0.236000,10.758064,-6.219748,-1.717439,0.911368,5.704788,0.181662,-1.000000
0.238000,10.630051,-6.350322,-1.668074,0.929412,5.702348,0.177009,-1.000000
0.240000,10.126826,-6.166474,-0.955588,0.947500,5.699206,0.175056,-1.000000
0.242000,10.339648,-6.568246,-1.576865,0.960417,5.702449,0.172882,-1.000000
0.244000,9.824134,-6.363152,-0.894971,0.978634,5.697749,0.175601,-1.000000
0.246000,9.685403,-6.463096,-0.915697,0.991802,5.699264,0.177697,-1.000000
0.248000,10.402074,-8.104139,-1.645882,1.005519,5.699297,0.181791,-1.000000
0.250000,10.173291,-8.019945,-1.595901,1.026502,5.692568,0.206867,-1.000000
0.252000,9.941613,-7.935893,-1.546241,1.047438,5.684948,0.231765,-1.000000
0.254000,9.710697,-7.852409,-1.495597,1.068377,5.676436,0.256290,-1.000000
0.256000,9.076456,-7.457702,-0.813448,1.089282,5.667034,0.280575,-1.000000
0.258000,8.878971,-7.414335,-0.837375,1.104602,5.664208,0.301783,-1.000000
0.260000,9.000419,-7.611861,-1.347741,1.120527,5.659596,0.323060,-1.000000
0.262000,8.768865,-7.528269,-1.293636,1.141341,5.647349,0.346683,-1.000000
0.264000,8.537144,-7.444597,-1.239284,1.162098,5.634229,0.370105,-1.000000
0.266000,8.305558,-7.360684,-1.184893,1.182796,5.620240,0.393321,-1.000000
0.268000,8.076200,-7.245923,-1.127337,1.203432,5.605387,0.416322,-1.000000
0.270000,7.844917,-7.162477,-1.072535,1.223946,5.589686,0.438923,-1.000000
0.272000,7.613938,-7.078797,-1.017563,1.244392,5.573133,0.461302,-1.000000
0.274000,7.383343,-6.994877,-0.962414,1.264765,5.555735,0.483453,-1.000000
0.276000,6.745672,-6.600142,-0.289357,1.285060,5.537500,0.505368,-1.000000
0.278000,6.940900,-6.824635,-0.859409,1.299629,5.526001,0.523858,-1.000000
0.280000,6.712113,-6.739704,-0.803715,1.319711,5.506333,0.545320,-1.000000
0.282000,6.484152,-6.654432,-0.748081,1.339701,5.485854,0.566534,-1.000000
0.284000,6.257135,-6.568798,-0.692538,1.359594,5.464573,0.587494,-1.000000
0.286000,6.031172,-6.482785,-0.637121,1.379383,5.442501,0.608193,-1.000000
0.288000,5.806356,-6.396384,-0.581873,1.399064,5.419651,0.628626,-1.000000
0.290000,5.582777,-6.309586,-0.526836,1.418631,5.396032,0.648784,-1.000000
0.292000,5.360519,-6.222387,-0.472054,1.438077,5.371659,0.668664,-1.000000
0.294000,5.139909,-6.134343,-0.417568,1.457396,5.346543,0.688258,-1.000000
0.296000,4.351819,-4.657246,-0.080303,1.476578,5.320699,0.707563,-1.000000
0.298000,4.186918,-4.698132,-0.023327,1.492686,5.294024,0.706850,-1.000000
0.300000,4.020154,-4.727013,0.032718,1.508703,5.266803,0.707739,-1.000000
0.302000,3.855412,-4.739616,0.081955,1.524621,5.239044,0.710070,-1.000000
0.304000,3.750911,-4.827081,0.111986,1.540287,5.210670,0.713657,-1.000000
0.306000,3.575509,-4.821320,0.164710,1.556034,5.182124,0.719678,-1.000000
0.308000,3.400664,-4.802263,0.216945,1.571670,5.153050,0.726629,-1.000000
0.310000,3.225960,-4.776472,0.268222,1.587176,5.123462,0.734374,-1.000000
0.312000,3.051791,-4.736927,0.321818,1.602549,5.093370,0.742823,-1.000000
0.314000,3.223150,-5.539326,0.182416,1.617583,5.062858,0.751861,-1.000000
0.316000,3.020518,-5.408519,0.229995,1.634307,5.031852,0.773768,-1.000000
0.318000,2.817861,-5.310035,0.274362,1.650821,5.000298,0.794938,-1.000000
0.320000,2.617161,-5.211565,0.318084,1.667172,4.968203,0.815635,-1.000000
0.322000,2.416746,-5.113773,0.360283,1.683352,4.935584,0.835861,-1.000000
0.324000,2.217625,-5.016240,0.401520,1.699362,4.902464,0.855608,-1.000000
0.326000,2.020566,-4.918663,0.442187,1.715195,4.868862,0.874873,-1.000000
0.328000,1.825604,-4.821047,0.482269,1.730844,4.834796,0.893660,-1.000000
0.330000,1.632803,-4.723431,0.521663,1.746300,4.800287,0.911970,-1.000000
0.332000,1.442267,-4.625898,0.560152,1.761554,4.765352,0.929806,-1.000000
0.334000,1.253887,-4.528314,0.598119,1.776601,4.730009,0.947174,-1.000000
0.336000,1.067635,-4.430646,0.635690,1.791431,4.694278,0.964075,-1.000000
0.338000,0.883555,-4.332942,0.672766,1.806035,4.658182,0.980513,-1.000000
0.340000,0.701708,-4.235269,0.709211,1.820404,4.621744,0.996491,-1.000000
0.342000,0.522104,-4.137647,0.745026,1.834532,4.584983,1.012012,-1.000000
0.344000,0.344749,-4.040094,0.780212,1.848410,4.547923,1.027082,-1.000000
0.346000,0.169649,-3.942631,0.814777,1.862030,4.510584,1.041704,-1.000000
0.348000,-0.003197,-3.845282,0.848727,1.875387,4.472988,1.055884,-1.000000
0.350000,-0.447045,-2.608157,1.108908,1.888472,4.435157,1.069628,-1.000000
0.352000,-0.586958,-2.613394,1.140092,1.898890,4.397477,1.067919,-1.000000
0.354000,-0.726350,-2.611046,1.170297,1.909115,4.359691,1.067198,-1.000000
0.356000,-0.865097,-2.601844,1.199569,1.919142,4.321814,1.067366,-1.000000
0.358000,-1.003117,-2.586379,1.227967,1.928963,4.283862,1.068336,-1.000000
0.360000,-1.140357,-2.565153,1.255561,1.938571,4.245852,1.070024,-1.000000
0.362000,-1.276780,-2.538614,1.282420,1.947960,4.207801,1.072357,-1.000000
