t,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,tof
0.002000,0.000200,0.000012,0.017692,0.000000,0.000000,0.000000,1.456662
0.004000,17.588158,-26.571326,0.976342,-0.000000,0.000002,0.000000,1.456606
0.006000,17.534867,-26.512734,0.973932,0.066507,0.053416,-0.006856,1.456667
0.008000,17.485489,-26.455529,0.967591,0.132701,0.106526,-0.013055,1.456843
0.010000,17.439851,-26.399658,0.957459,0.198586,0.159354,-0.018604,1.457134
0.012000,17.397452,-26.344514,0.943663,0.264168,0.211916,-0.023511,1.457539
0.014000,17.357829,-26.289567,0.926323,0.329449,0.264233,-0.027805,1.458059
0.016000,17.321499,-26.235928,0.905556,0.394432,0.316320,-0.031530,1.458693
0.018000,18.122317,-18.594089,14.222612,0.459120,0.368193,-0.034691,1.459442
0.020000,18.178705,-17.793464,15.659198,0.463498,0.425859,-0.029889,1.460396
0.022000,18.142644,-17.739699,15.684958,0.460990,0.483826,-0.024020,1.461566
0.024000,18.645653,-13.147388,24.470375,0.458252,0.541561,-0.018665,1.462952
0.026000,18.504480,-14.070305,22.761345,0.409083,0.602024,-0.007959,1.464611
0.028000,18.375912,-14.884366,21.240503,0.368435,0.661691,0.001834,1.466533
0.030000,18.258620,-15.600603,19.884477,0.335345,0.720649,0.010840,1.468710
0.032000,18.170335,-16.329118,19.180439,0.308943,0.778975,0.019177,1.471135
0.034000,18.069687,-16.877530,18.030496,0.293861,0.839588,0.025224,1.473815
0.036000,17.964273,-17.283010,16.612610,0.283373,0.899313,0.031014,1.476745
0.038000,17.881948,-17.708820,15.751345,0.272738,0.956056,0.038116,1.479910
0.040000,17.774004,-18.612423,13.950726,0.266191,1.012390,0.044904,1.483307
0.042000,17.713597,-18.813939,13.484061,0.268971,1.068270,0.050654,1.486929
0.044000,17.656624,-18.996754,13.048946,0.273768,1.123898,0.056332,1.490777
0.046000,17.602361,-19.162215,12.642056,0.280403,1.179284,0.062004,1.494851
0.048000,17.550337,-19.311938,12.260261,0.288714,1.234439,0.067702,1.499154
0.050000,17.527508,-18.917784,12.923435,0.298559,1.289377,0.073444,1.503687
