t,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,tof
0.002000,0.000200,0.000012,0.017692,0.000000,0.000000,0.000000,1.456662
0.004000,-28.352398,17.688850,-2.137093,-0.000000,0.000002,0.000000,1.456606
0.006000,-28.252437,17.648876,-2.130162,-0.044334,-0.086078,0.006806,1.456219
0.008000,-28.151922,17.610262,-2.127544,-0.088460,-0.171632,0.013199,1.455503
0.010000,-28.050304,17.572007,-2.129068,-0.132384,-0.256655,0.019155,1.454459
0.012000,-27.947471,17.533894,-2.134562,-0.176113,-0.341139,0.024687,1.453092
0.014000,-27.843414,17.495884,-2.143859,-0.219649,-0.425077,0.029811,1.451405
0.016000,-27.738109,17.457930,-2.156792,-0.262997,-0.508465,0.034542,1.449402
0.018000,-27.465813,13.522174,4.123478,-0.306160,-0.591295,0.038897,1.447087
0.020000,-26.419409,7.280873,14.612813,-0.316689,-0.674080,0.038324,1.444501
0.022000,-26.240576,6.521787,15.946671,-0.271355,-0.750965,0.033751,1.441726
0.024000,-26.116799,7.409439,16.248728,-0.218977,-0.826883,0.028092,1.438776
0.026000,-26.061367,7.997103,15.270863,-0.179285,-0.904486,0.022795,1.435649
0.028000,-25.998712,8.486741,14.327617,-0.144433,-0.981879,0.017841,1.432344
0.030000,-25.712836,9.128416,17.007828,-0.113620,-1.058752,0.013606,1.428860
0.032000,-25.837925,13.088712,12.479842,-0.090429,-1.134539,0.009621,1.425221
0.034000,-25.781525,13.215412,11.548588,-0.104059,-1.210686,0.009107,1.421401
0.036000,-25.720891,13.290192,10.681499,-0.118547,-1.286521,0.008559,1.417402
0.038000,-26.021886,16.262907,6.619541,-0.133507,-1.362040,0.007934,1.413224
0.040000,-25.525262,12.412439,9.569476,-0.171214,-1.439065,0.009246,1.408844
0.042000,-25.453870,12.569252,8.889539,-0.177921,-1.513525,0.007406,1.404293
0.044000,-25.229301,10.709931,10.527986,-0.185986,-1.587663,0.005573,1.399574
0.046000,-25.190395,11.990722,9.578674,-0.171962,-1.660889,0.002106,1.394702
0.048000,-25.120772,12.264772,8.748039,-0.169664,-1.734227,-0.000349,1.389679
0.050000,-25.045368,12.511438,8.009543,-0.169900,-1.807241,-0.002494,1.384506
0.052000,-24.907729,12.136987,8.011569,-0.172415,-1.879914,-0.004477,1.379185
0.054000,-24.616060,9.677895,10.534720,-0.171738,-1.952029,-0.006983,1.373724
0.056000,-24.664732,11.033545,8.219949,-0.150080,-2.022760,-0.012496,1.368146
0.058000,-24.584672,11.387661,7.490233,-0.144574,-2.093927,-0.015917,1.362443
0.060000,-24.905223,15.033957,3.156118,-0.142290,-2.164798,-0.018987,1.356617
0.062000,-24.328455,11.398166,7.066081,-0.170523,-2.237123,-0.019964,1.350648
0.064000,-24.013029,9.297233,10.457542,-0.168608,-2.307104,-0.023084,1.344568
0.066000,-23.945533,9.878575,9.427525,-0.144739,-2.376853,-0.029746,1.338402
0.068000,-23.899481,10.975788,7.618713,-0.126177,-2.446290,-0.035744,1.332152
0.070000,-23.808864,11.315903,6.963609,-0.116807,-2.514924,-0.040469,1.325815
